govDistrict,admDistrict,districtType,town,plz,retailer
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85053,Keine
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Aldi
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Aldi
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85053,Aldi
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Aldi
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Aldi
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Aldi
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Alnatura
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Dennree
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Dennree
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85049,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85049,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85049,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85049,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85049,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85053,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85053,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Edeka
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Kaufland
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Kaufland
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Lidl
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85053,Lidl
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Lidl
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Lidl
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Mix Markt
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Mix Markt
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Netto
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Netto
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85053,Netto
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Netto
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Netto
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85049,Norma
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85049,Norma
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Norma
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Norma
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Norma
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Penny
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85053,Penny
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Penny
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Penny
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85049,Rewe
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Rewe
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Rewe
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85051,Rewe
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85055,Rewe
Oberbayern,Ingolstadt,Stadt,Ingolstadt,85057,Keine
Oberbayern,München,Stadt,München,80335,Keine
Oberbayern,München,Stadt,München,80336,Keine
Oberbayern,München,Stadt,München,80336,Keine
Oberbayern,München,Stadt,München,80336,Keine
Oberbayern,München,Stadt,München,80336,Keine
Oberbayern,München,Stadt,München,80337,Keine
Oberbayern,München,Stadt,München,80339,Keine
Oberbayern,München,Stadt,München,80469,Keine
Oberbayern,München,Stadt,München,80539,Keine
Oberbayern,München,Stadt,München,80539,Keine
Oberbayern,München,Stadt,München,80636,Keine
Oberbayern,München,Stadt,München,80637,Keine
Oberbayern,München,Stadt,München,80637,Keine
Oberbayern,München,Stadt,München,80637,Keine
Oberbayern,München,Stadt,München,80686,Keine
Oberbayern,München,Stadt,München,80687,Keine
Oberbayern,München,Stadt,München,80689,Keine
Oberbayern,München,Stadt,München,80805,Keine
Oberbayern,München,Stadt,München,80809,Keine
Oberbayern,München,Stadt,München,80809,Keine
Oberbayern,München,Stadt,München,80933,Keine
Oberbayern,München,Stadt,München,80939,Keine
Oberbayern,München,Stadt,München,80992,Keine
Oberbayern,München,Stadt,München,81241,Keine
Oberbayern,München,Stadt,München,81243,Keine
Oberbayern,München,Stadt,München,81249,Keine
Oberbayern,München,Stadt,München,81371,Keine
Oberbayern,München,Stadt,München,81375,Keine
Oberbayern,München,Stadt,München,81379,Keine
Oberbayern,München,Stadt,München,81379,Keine
Oberbayern,München,Stadt,München,81669,Keine
Oberbayern,München,Stadt,München,81671,Keine
Oberbayern,München,Stadt,München,81671,Keine
Oberbayern,München,Stadt,München,81671,Keine
Oberbayern,München,Stadt,München,81735,Keine
Oberbayern,München,Stadt,München,81827,Keine
Oberbayern,München,Stadt,München,81925,Keine
Oberbayern,München,Stadt,München,81925,Keine
Oberbayern,München,Stadt,München,81929,Keine
Oberbayern,München,Stadt,München,81475,AEZ
Oberbayern,München,Stadt,München,80335,Aldi
Oberbayern,München,Stadt,München,80336,Aldi
Oberbayern,München,Stadt,München,80339,Aldi
Oberbayern,München,Stadt,München,80639,Aldi
Oberbayern,München,Stadt,München,80639,Aldi
Oberbayern,München,Stadt,München,80687,Aldi
Oberbayern,München,Stadt,München,80805,Aldi
Oberbayern,München,Stadt,München,80807,Aldi
Oberbayern,München,Stadt,München,80933,Aldi
Oberbayern,München,Stadt,München,80935,Aldi
Oberbayern,München,Stadt,München,80935,Aldi
Oberbayern,München,Stadt,München,80939,Aldi
Oberbayern,München,Stadt,München,80939,Aldi
Oberbayern,München,Stadt,München,80992,Aldi
Oberbayern,München,Stadt,München,80992,Aldi
Oberbayern,München,Stadt,München,80993,Aldi
Oberbayern,München,Stadt,München,80995,Aldi
Oberbayern,München,Stadt,München,80999,Aldi
Oberbayern,München,Stadt,München,81241,Aldi
Oberbayern,München,Stadt,München,81243,Aldi
Oberbayern,München,Stadt,München,81371,Aldi
Oberbayern,München,Stadt,München,81375,Aldi
Oberbayern,München,Stadt,München,81379,Aldi
Oberbayern,München,Stadt,München,81379,Aldi
Oberbayern,München,Stadt,München,81477,Aldi
Oberbayern,München,Stadt,München,81543,Aldi
Oberbayern,München,Stadt,München,81549,Aldi
Oberbayern,München,Stadt,München,81667,Aldi
Oberbayern,München,Stadt,München,81669,Aldi
Oberbayern,München,Stadt,München,81669,Aldi
Oberbayern,München,Stadt,München,81673,Aldi
Oberbayern,München,Stadt,München,81679,Aldi
Oberbayern,München,Stadt,München,81735,Aldi
Oberbayern,München,Stadt,München,81737,Aldi
Oberbayern,München,Stadt,München,81739,Aldi
Oberbayern,München,Stadt,München,81825,Aldi
Oberbayern,München,Stadt,München,81925,Aldi
Oberbayern,München,Stadt,München,80337,Alnatura
Oberbayern,München,Stadt,München,80634,Alnatura
Oberbayern,München,Stadt,München,80802,Alnatura
Oberbayern,München,Stadt,München,80331,Alnatura
Oberbayern,München,Stadt,München,80639,Alnatura
Oberbayern,München,Stadt,München,80802,Alnatura
Oberbayern,München,Stadt,München,80939,Alnatura
Oberbayern,München,Stadt,München,81241,Alnatura
Oberbayern,München,Stadt,München,81379,Alnatura
Oberbayern,München,Stadt,München,81379,Alnatura
Oberbayern,München,Stadt,München,81667,Alnatura
Oberbayern,München,Stadt,München,81735,Alnatura
Oberbayern,München,Stadt,München,80331,Basic
Oberbayern,München,Stadt,München,80687,Basic
Oberbayern,München,Stadt,München,81677,Basic
Oberbayern,München,Stadt,München,80469,Basic
Oberbayern,München,Stadt,München,80636,Basic
Oberbayern,München,Stadt,München,80796,Basic
Oberbayern,München,Stadt,München,80797,Basic
Oberbayern,München,Stadt,München,80803,Basic
Oberbayern,München,Stadt,München,81247,Basic
Oberbayern,München,Stadt,München,81369,Basic
Oberbayern,München,Stadt,München,80333,Dennree
Oberbayern,München,Stadt,München,80337,Dennree
Oberbayern,München,Stadt,München,80339,Dennree
Oberbayern,München,Stadt,München,80469,Dennree
Oberbayern,München,Stadt,München,80634,Dennree
Oberbayern,München,Stadt,München,80637,Dennree
Oberbayern,München,Stadt,München,80638,Dennree
Oberbayern,München,Stadt,München,80799,Dennree
Oberbayern,München,Stadt,München,80799,Dennree
Oberbayern,München,Stadt,München,81375,Dennree
Oberbayern,München,Stadt,München,81479,Dennree
Oberbayern,München,Stadt,München,81541,Dennree
Oberbayern,München,Stadt,München,81541,Dennree
Oberbayern,München,Stadt,München,81667,Dennree
Oberbayern,München,Stadt,München,81667,Dennree
Oberbayern,München,Stadt,München,81737,Dennree
Oberbayern,München,Stadt,München,81827,Dennree
Oberbayern,München,Stadt,München,81927,Dennree
Oberbayern,München,Stadt,München,80331,Dennree
Oberbayern,München,Stadt,München,80335,Dennree
Oberbayern,München,Stadt,München,80802,Dennree
Oberbayern,München,Stadt,München,80992,Dennree
Oberbayern,München,Stadt,München,81475,Dennree
Oberbayern,München,Stadt,München,81539,Dennree
Oberbayern,München,Stadt,München,81825,Dennree
Oberbayern,München,Stadt,München,81675,Edeka
Oberbayern,München,Stadt,München,80331,Edeka
Oberbayern,München,Stadt,München,80335,Edeka
Oberbayern,München,Stadt,München,80335,Edeka
Oberbayern,München,Stadt,München,80337,Edeka
Oberbayern,München,Stadt,München,80339,Edeka
Oberbayern,München,Stadt,München,80634,Edeka
Oberbayern,München,Stadt,München,80687,Edeka
Oberbayern,München,Stadt,München,80689,Edeka
Oberbayern,München,Stadt,München,80805,Edeka
Oberbayern,München,Stadt,München,80805,Edeka
Oberbayern,München,Stadt,München,80933,Edeka
Oberbayern,München,Stadt,München,80937,Edeka
Oberbayern,München,Stadt,München,80993,Edeka
Oberbayern,München,Stadt,München,80995,Edeka
Oberbayern,München,Stadt,München,81245,Edeka
Oberbayern,München,Stadt,München,81245,Edeka
Oberbayern,München,Stadt,München,81249,Edeka
Oberbayern,München,Stadt,München,81369,Edeka
Oberbayern,München,Stadt,München,81371,Edeka
Oberbayern,München,Stadt,München,81371,Edeka
Oberbayern,München,Stadt,München,81373,Edeka
Oberbayern,München,Stadt,München,81375,Edeka
Oberbayern,München,Stadt,München,81547,Edeka
Oberbayern,München,Stadt,München,81549,Edeka
Oberbayern,München,Stadt,München,81669,Edeka
Oberbayern,München,Stadt,München,81673,Edeka
Oberbayern,München,Stadt,München,81737,Edeka
Oberbayern,München,Stadt,München,81825,Edeka
Oberbayern,München,Stadt,München,81825,Edeka
Oberbayern,München,Stadt,München,81829,Edeka
Oberbayern,München,Stadt,München,81925,Edeka
Oberbayern,München,Stadt,München,81929,Edeka
Oberbayern,München,Stadt,München,80333,Edeka
Oberbayern,München,Stadt,München,80634,Edeka
Oberbayern,München,Stadt,München,80803,Edeka
Oberbayern,München,Stadt,München,81369,Edeka
Oberbayern,München,Stadt,München,81545,Edeka
Oberbayern,München,Stadt,München,81677,Edeka
Oberbayern,München,Stadt,München,81737,Edeka
Oberbayern,München,Stadt,München,80339,Feneberg
Oberbayern,München,Stadt,München,80807,Feneberg
Oberbayern,München,Stadt,München,80687,Hit
Oberbayern,München,Stadt,München,80997,Hit
Oberbayern,München,Stadt,München,81241,Hit
Oberbayern,München,Stadt,München,81539,Hit
Oberbayern,München,Stadt,München,81669,Hit
Oberbayern,München,Stadt,München,81737,Hit
Oberbayern,München,Stadt,München,81825,Hit
Oberbayern,München,Stadt,München,80939,Kaes
Oberbayern,München,Stadt,München,81541,Kaes
Oberbayern,München,Stadt,München,80335,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80335,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80469,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80469,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80538,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80538,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80636,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80636,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80639,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80639,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80639,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80687,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80687,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80689,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80797,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80798,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80799,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80799,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80799,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80801,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80802,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80807,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80809,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80933,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80935,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80939,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80992,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80993,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80997,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,80997,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,81241,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,81245,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,81377,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,81377,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,81379,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,81379,Kaiser's Tengelmann
Oberbayern,München,Stadt,München,81379,Kaiser's Tengelmann
