govDistrict,admDistrict,districtType,town,population,supermarket,store
Mittelfranken,Ansbach,Landkreis,Adelshofen,1592,0,0
Mittelfranken,Ansbach,Landkreis,Arberg,2290,1,2
Mittelfranken,Ansbach,Landkreis,Aurach,2891,1,5
Mittelfranken,Ansbach,Landkreis,Bechhofen,5914,4,7
Mittelfranken,Ansbach,Landkreis,Bruckberg,5071,1,0
Mittelfranken,Ansbach,Landkreis,Buch a. Wald,938,1,4
Mittelfranken,Ansbach,Landkreis,Burgoberbach,3302,1,1
Mittelfranken,Ansbach,Landkreis,Burk,1115,1,1
Mittelfranken,Ansbach,Landkreis,Colmberg,1995,1,4
Mittelfranken,Ansbach,Landkreis,Dentlein a. Forst,2308,1,4
Mittelfranken,Ansbach,Landkreis,Diebach,1106,0,0
Mittelfranken,Ansbach,Landkreis,Dietenhofen,5570,3,5
Mittelfranken,Ansbach,Landkreis,Dinkelsbühl,11582,10,12
Mittelfranken,Ansbach,Landkreis,Dombühl,1598,0,1
Mittelfranken,Ansbach,Landkreis,Dürrwangen,2539,1,2
Mittelfranken,Ansbach,Landkreis,Ehingen,1950,0,4
Mittelfranken,Ansbach,Landkreis,Feuchtwangen,12216,8,5
Mittelfranken,Ansbach,Landkreis,Flachslanden,2366,1,4
Mittelfranken,Ansbach,Landkreis,Gebsattel,1732,1,2
Mittelfranken,Ansbach,Landkreis,Gerolfingen,965,0,4
Mittelfranken,Ansbach,Landkreis,Geslau,1354,1,2
Mittelfranken,Ansbach,Landkreis,Heilsbronn,9086,5,3
Mittelfranken,Ansbach,Landkreis,Herrieden,7613,3,5
Mittelfranken,Ansbach,Landkreis,Insingen,1134,0,1
Mittelfranken,Ansbach,Landkreis,Langfurth,2102,1,1
Mittelfranken,Ansbach,Landkreis,Lehrberg,3082,1,1
Mittelfranken,Ansbach,Landkreis,Leutershausen,5501,4,5
Mittelfranken,Ansbach,Landkreis,Lichtenau,3743,1,6
Mittelfranken,Ansbach,Landkreis,Merkendorf,2731,2,4
Mittelfranken,Ansbach,Landkreis,Mitteleschenbach,1604,1,2
Mittelfranken,Ansbach,Landkreis,Mönchsroth,1551,2,1
Mittelfranken,Ansbach,Landkreis,Neuendettelsau,7772,3,7
Mittelfranken,Ansbach,Landkreis,Neusitz,2031,0,0
Mittelfranken,Ansbach,Landkreis,Oberdachstetten,1634,1,3
Mittelfranken,Ansbach,Landkreis,Ohrenbach,575,0,0
Mittelfranken,Ansbach,Landkreis,Ornbau,1602,1,2
Mittelfranken,Ansbach,Landkreis,Petersaurach,4913,2,4
Mittelfranken,Ansbach,Landkreis,Röckingen,724,0,2
Mittelfranken,Ansbach,Landkreis,Rothenburg ob der Tauber,10911,9,7
Mittelfranken,Ansbach,Landkreis,Rügland,1260,0,3
Mittelfranken,Ansbach,Landkreis,Sachsen b. Ansbach,3312,2,1
Mittelfranken,Ansbach,Landkreis,Schillingsfürst,2752,2,4
Mittelfranken,Ansbach,Landkreis,Schnelldorf,3525,3,0
Mittelfranken,Ansbach,Landkreis,Schopfloch,2827,2,3
Mittelfranken,Ansbach,Landkreis,Steinsfeld,1221,0,0
Mittelfranken,Ansbach,Landkreis,Unterschwaningen,860,1,1
Mittelfranken,Ansbach,Landkreis,Wassertrüdingen,5919,7,5
Mittelfranken,Ansbach,Landkreis,Weidenbach,2174,1,4
Mittelfranken,Ansbach,Landkreis,Weihenzell,2836,1,2
Mittelfranken,Ansbach,Landkreis,Weiltingen,1361,1,4
Mittelfranken,Ansbach,Landkreis,Wettringen,915,0,0
Mittelfranken,Ansbach,Landkreis,Wieseth,1412,0,3
Mittelfranken,Ansbach,Landkreis,Wilburgstetten,2060,2,0
Mittelfranken,Ansbach,Landkreis,Windelsbach,1057,0,1
Mittelfranken,Ansbach,Landkreis,Windsbach,5999,3,6
Mittelfranken,Ansbach,Landkreis,Wittelshofen,1244,0,1
Mittelfranken,Ansbach,Landkreis,Wolframs-Eschenbach,2897,2,4
Mittelfranken,Ansbach,Landkreis,Wörnitz,1664,2,1
Mittelfranken,Ansbach,Stadt,Ansbach,40305,18,21
Mittelfranken,Erlangen,Stadt,Erlangen,107101,42,32
Mittelfranken,Erlangen-Höchstadt,Landkreis,Adelsdorf,7260,4,5
Mittelfranken,Erlangen-Höchstadt,Landkreis,Aurachtal,3071,1,0
Mittelfranken,Erlangen-Höchstadt,Landkreis,Baiersdorf,7316,4,0
Mittelfranken,Erlangen-Höchstadt,Landkreis,Bubenreuth,4547,4,4
Mittelfranken,Erlangen-Höchstadt,Landkreis,Buckenhof,3329,1,0
Mittelfranken,Erlangen-Höchstadt,Landkreis,Eckental,13980,7,6
Mittelfranken,Erlangen-Höchstadt,Landkreis,Gremsdorf,1572,0,0
Mittelfranken,Erlangen-Höchstadt,Landkreis,Großenseebach,2461,1,2
Mittelfranken,Erlangen-Höchstadt,Landkreis,Hemhofen,5129,3,1
Mittelfranken,Erlangen-Höchstadt,Landkreis,Heroldsberg,8283,5,5
Mittelfranken,Erlangen-Höchstadt,Landkreis,Herzogenaurach,23303,9,5
Mittelfranken,Erlangen-Höchstadt,Landkreis,Heßdorf,3530,3,1
Mittelfranken,Erlangen-Höchstadt,Landkreis,Höchstadt a. d. Aisch,13223,6,9
Mittelfranken,Erlangen-Höchstadt,Landkreis,Kalchreuth,3011,1,4
Mittelfranken,Erlangen-Höchstadt,Landkreis,Lonnerstadt,1969,0,4
Mittelfranken,Erlangen-Höchstadt,Landkreis,Marloffstein,1602,0,2
Mittelfranken,Erlangen-Höchstadt,Landkreis,Möhrendorf,4546,1,4
Mittelfranken,Erlangen-Höchstadt,Landkreis,Mühlhausen,4580,3,2
Mittelfranken,Erlangen-Höchstadt,Landkreis,Oberreichenbach,1221,0,1
Mittelfranken,Erlangen-Höchstadt,Landkreis,Röttenbach,4592,2,2
Mittelfranken,Erlangen-Höchstadt,Landkreis,Spardorf,1943,0,0
Mittelfranken,Erlangen-Höchstadt,Landkreis,Uttenreuth,4768,1,4
Mittelfranken,Erlangen-Höchstadt,Landkreis,Vestenbergsgreuth,1514,0,2
Mittelfranken,Erlangen-Höchstadt,Landkreis,Wachenroth,2203,1,3
Mittelfranken,Erlangen-Höchstadt,Landkreis,Weisendorf,6297,3,8
Mittelfranken,Fürth,Landkreis,Ammerndorf,2096,1,3
Mittelfranken,Fürth,Landkreis,Cadolzburg,10462,3,3
Mittelfranken,Fürth,Landkreis,Großhabersdorf,4198,1,2
Mittelfranken,Fürth,Landkreis,Langenzenn,10508,7,7
Mittelfranken,Fürth,Landkreis,Oberasbach,17222,6,4
Mittelfranken,Fürth,Landkreis,Obermichelbach,3177,1,1
Mittelfranken,Fürth,Landkreis,Puschendorf,2152,1,3
Mittelfranken,Fürth,Landkreis,Roßtal,9614,5,6
Mittelfranken,Fürth,Landkreis,Seukendorf,3097,2,1
Mittelfranken,Fürth,Landkreis,Stein,13963,5,7
Mittelfranken,Fürth,Landkreis,Tuchenbach,1322,0,0
Mittelfranken,Fürth,Landkreis,Veitsbronn,6297,4,4
Mittelfranken,Fürth,Landkreis,Wilhermsdorf,5033,2,4
Mittelfranken,Fürth,Landkreis,Zirndorf,25951,8,13
Mittelfranken,Fürth,Stadt,Fürth,120362,47,28
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Bad Windsheim,11828,8,13
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Baudenbach,1174,1,0
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Burgbernheim,2914,2,4
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Burghaslach,2500,1,4
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Dachsbach,1793,1,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Diespeck,3702,2,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Dietersheim,2150,1,0
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Emskirchen,5954,3,11
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Ergersheim,1097,0,0
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Gallmersgarten,741,1,3
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Gerhardshofen,2535,0,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Gollhofen,815,0,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Gutenstetten,1361,0,3
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Hagenbüchach,1283,0,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Hemmersheim,662,0,2
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Illesheim,893,0,2
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Ippesheim,1085,0,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Ipsheim,2112,1,6
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Langenfeld,990,0,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Markt Bibart,1880,2,0
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Markt Erlbach,5558,4,4
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Markt Nordheim,1105,0,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Markt Taschendorf,1019,1,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Marktbergel,1514,1,2
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Münchsteinach,1397,0,3
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Neuhof a. d. Zenn,2023,1,0
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Neustadt a. d. Aisch,12169,6,0
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Oberickelsheim,685,1,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Obernzenn,2682,1,2
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Oberscheinfeld,1205,1,0
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Scheinfeld,4601,3,3
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Simmershofen,887,0,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Sugenheim,2316,1,2
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Trautskirchen,1310,1,1
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Uehlfeld,2882,2,5
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Uffenheim,6154,3,9
Mittelfranken,Neustadt/Aisch-Bad Windsheim,Landkreis,Weigenheim,1028,0,1
