govDistrict,admDistrict,admDistrictShort,districtType,id,pop2014,pop2005,shopCount2005,shopCount2015,salesArea2005,salesArea2015,employees2007,employees2015
Oberbayern,Ingolstadt,,Stadt,09161,131002,121314,53,56,1,1,166,476
Oberbayern,München,,Stadt,09162,1429584,1259677,457,503,680,1,4,5
Oberbayern,Rosenheim,,Stadt,09163,60889,60226,27,30,1,1,139,193
Oberbayern,Altötting,,Landkreis,09171,107465,109227,68,60,764,787,240,221
Oberbayern,Berchtesgadener Land,,Landkreis,09172,102976,102587,74,57,555,751,188,199
Oberbayern,Bad Tölz-Wolfratshausen,,Landkreis,09173,123340,120633,69,58,608,732,198,210
Oberbayern,Dachau,,Landkreis,09174,146279,134382,54,61,771,715,241,419
Oberbayern,Ebersberg,,Landkreis,09175,134873,123895,54,56,665,763,285,345
Oberbayern,Eichstätt,,Landkreis,09176,127189,123233,64,58,581,589,438,401
Oberbayern,Erding,,Landkreis,09177,131839,123094,58,57,634,689,165,484
Oberbayern,Freising,,Landkreis,09178,170357,160655,69,74,774,801,197,713
Oberbayern,Fürstenfeldbruck,,Landkreis,09179,210278,199783,68,70,893,911,635,886
Oberbayern,Garmisch-Partenkirchen,,Landkreis,09180,85931,87351,61,53,472,611,170,291
Oberbayern,Landsberg am Lech,Landsberg,Landkreis,09181,116118,112080,58,57,559,842,145,278
Oberbayern,Miesbach,,Landkreis,09182,96773,94970,49,44,596,611,248,350
Oberbayern,Mühldorf am Inn,Mühldorf,Landkreis,09183,110296,110930,65,62,732,770,219,247
Oberbayern,München,,Landkreis,09184,332800,309080,117,131,791,843,760,1
Oberbayern,Neuburg-Schrobenhausen,,Landkreis,09185,93505,91181,45,49,814,747,567,620
Oberbayern,Pfaffenhofen an der Ilm,Pfaffenhofen,Landkreis,09186,121594,115809,59,53,629,655,401,364
Oberbayern,Rosenheim,,Landkreis,09187,251850,247057,151,134,550,710,533,627
Oberbayern,Starnberg,,Landkreis,09188,131873,129091,50,55,602,606,352,567
Oberbayern,Traunstein,,Landkreis,09189,171978,170906,126,109,574,700,457,333
Oberbayern,Weilheim-Schongau,,Landkreis,09190,131190,131034,64,66,894,923,226,376
Niederbayern,Landshut,,Stadt,09261,67509,61368,22,26,916,1,163,228
Niederbayern,Passau,,Stadt,09262,49952,50651,30,28,1,1,413,356
Niederbayern,Straubing,,Stadt,09263,46027,44633,27,25,1,1,211,227
Niederbayern,Deggendorf,,Landkreis,09271,115699,117492,81,73,742,750,245,235
Niederbayern,Freyung-Grafenau,,Landkreis,09272,77927,81582,86,63,400,511,83,149
Niederbayern,Kelheim,,Landkreis,09273,116495,113237,61,60,749,679,92,130
Niederbayern,Landshut,,Landkreis,09274,151819,148101,95,83,561,591,228,307
Niederbayern,Passau,,Landkreis,09275,186284,189142,147,127,606,645,580,432
Niederbayern,Regen,,Landkreis,09276,76265,81416,63,56,599,606,99,93
Niederbayern,Rottal-Inn,,Landkreis,09277,118164,119598,76,64,687,724,252,314
Niederbayern,Straubing-Bogen,,Landkreis,09278,97967,97797,68,49,479,449,245,353
Niederbayern,Dingolfing-Landau,,Landkreis,09279,93450,91906,61,50,564,691,173,330
Oberpfalz,Amberg,,Stadt,09361,41535,44618,21,20,1,1,160,159
Oberpfalz,Regensburg,,Stadt,09362,142292,129859,56,60,953,1,419,534
Oberpfalz,Weiden in der Oberpfalz,Weiden,Stadt,09363,41817,42672,27,26,1,1,96,247
Oberpfalz,Amberg-Sulzbach,,Landkreis,09371,103045,108159,50,40,537,568,103,269
