govDistrict,admDistrict,districtType,town,ags,pop2015,noSupermarket,noStore
Schwaben,Aichach-Friedberg,Landkreis,Adelzhausen,9771111,"1,664",x,x
Schwaben,Aichach-Friedberg,Landkreis,Hollenbach,9771140,"2,377",x,
Schwaben,Aichach-Friedberg,Landkreis,Inchenhofen,9771141,"2,746",x,x
Schwaben,Aichach-Friedberg,Landkreis,Merching,9771145,"3,112",x,
Schwaben,Aichach-Friedberg,Landkreis,Obergriesbach,9771149,"1,985",x,x
Schwaben,Aichach-Friedberg,Landkreis,Rehling,9771158,"2,491",x,
Schwaben,Aichach-Friedberg,Landkreis,Ried,9771160,"2,986",x,
Schwaben,Aichach-Friedberg,Landkreis,Schiltberg,9771162,"1,933",x,
Schwaben,Aichach-Friedberg,Landkreis,Sielenbach,9771165,"1,624",x,
Schwaben,Aichach-Friedberg,Landkreis,Steindorf,9771168,935,x,
Schwaben,Aichach-Friedberg,Landkreis,Todtenweis,9771169,"1,360",x,x
Schwaben,Aichach-Friedberg,Landkreis,Baar (Schwaben),9771176,"1,152",x,
Oberbayern,Altötting,Landkreis,Halsbach,9171119,941,x,
Oberbayern,Altötting,Landkreis,Mehring,9171124,"2,373",x,x
Oberbayern,Altötting,Landkreis,Stammham,9171130,988,x,x
Oberbayern,Altötting,Landkreis,Teising,9171131,"1,898",x,
Oberbayern,Altötting,Landkreis,Tyrlaching,9171134,934,x,x
Oberpfalz,Amberg-Sulzbach,Landkreis,Ammerthal,9371111,"2,101",x,
Oberpfalz,Amberg-Sulzbach,Landkreis,Ebermannsdorf,9371118,"2,465",x,x
Oberpfalz,Amberg-Sulzbach,Landkreis,Ensdorf,9371120,"2,220",x,
Oberpfalz,Amberg-Sulzbach,Landkreis,Gebenbach,9371123,899,x,
Oberpfalz,Amberg-Sulzbach,Landkreis,Hirschbach,9371128,"1,206",x,
Oberpfalz,Amberg-Sulzbach,Landkreis,Hohenburg,9371129,"1,580",x,
Oberpfalz,Amberg-Sulzbach,Landkreis,Illschwang,9371131,"2,004",x,
Oberpfalz,Amberg-Sulzbach,Landkreis,Weigendorf,9371157,"1,206",x,
Mittelfranken,Ansbach,Landkreis,Adelshofen,9571111,976,x,x
Mittelfranken,Ansbach,Landkreis,Diebach,9571134,"1,107",x,x
Mittelfranken,Ansbach,Landkreis,Dombühl,9571137,"1,674",x,
Mittelfranken,Ansbach,Landkreis,Ehingen,9571141,"1,941",x,
Mittelfranken,Ansbach,Landkreis,Gerolfingen,9571154,947,x,
Mittelfranken,Ansbach,Landkreis,Insingen,9571169,"1,187",x,
Mittelfranken,Ansbach,Landkreis,Neusitz,9571181,"2,009",x,x
Mittelfranken,Ansbach,Landkreis,Oberdachstetten,9571183,"1,536",x,
Mittelfranken,Ansbach,Landkreis,Ohrenbach,9571188,630,x,x
Mittelfranken,Ansbach,Landkreis,Röckingen,9571192,752,x,
Mittelfranken,Ansbach,Landkreis,Rügland,9571194,"1,239",x,
Mittelfranken,Ansbach,Landkreis,Steinsfeld,9571205,"1,212",x,x
Mittelfranken,Ansbach,Landkreis,Wettringen,9571222,986,x,x
Mittelfranken,Ansbach,Landkreis,Wieseth,9571223,"1,363",x,
Mittelfranken,Ansbach,Landkreis,Windelsbach,9571225,"1,066",x,
Mittelfranken,Ansbach,Landkreis,Wittelshofen,9571227,"1,225",x,
Unterfranken,Aschaffenburg,Landkreis,Blankenbach,9671113,"1,498",x,
Unterfranken,Aschaffenburg,Landkreis,Heimbuchenthal,9671127,"2,180",x,
