govDistrict,admDistrict,admDistrictShort,relatedDistrictId,districtType,id,pop2014,pop2005,shopCount2005,shopCount2015,salesArea2005,salesArea2015,employees2007,employees2015,popDeltaAbs,popDeltaPrc,shopCountDeltaAbs,shopCountDeltaPrc,salesAreaDeltaAbs,salesAreaDeltaPrc,employeesDeltaAbs,employeesDeltaPrc,shopCount2014,lastShopCountDeltaAbs,lastShopCountDeltaPrc,noSupermarketCount,noStoreCount,ruralStoresNames,ruralStoresCount,biggestChain,biggestChainCount,biggestChainDeltaAbs,biggestChainDeltaPrc,biggestChainDeltaFctr
Oberbayern,Ingolstadt,,,Stadt,09161,131002,121314,53,56,1013,1258,166,476,9688,7.99,3,5.66,245,24.19,310,186.75,56,0,0,0,0,,0,Edeka,18,12,66.67,3
Oberbayern,München,,,Stadt,09162,1429584,1259677,457,503,680,1072,4,5,169907,13.49,46,10.07,392,57.65,1,25,494,9,2,0,0,,0,Kaiser's Tengelmann,89,12,13.48,1.16
Oberbayern,Rosenheim,,09187,Stadt,09163,60889,60226,27,30,1140,1276,139,193,663,1.1,3,11.11,136,11.93,54,38.85,29,1,3,0,0,,0,Edeka,5,1,20,1.25
Oberbayern,Altötting,,,Landkreis,09171,107465,109227,68,60,764,787,240,221,-1762,-1.61,-8,-11.76,23,3.01,-19,-7.92,61,-1,-2,5,3,,0,Edeka,27,20,74.07,3.86
Oberbayern,Berchtesgadener Land,,,Landkreis,09172,102976,102587,74,57,555,751,188,199,389,0.38,-17,-22.97,196,35.32,11,5.85,58,-1,-2,2,2,,0,Edeka,26,19,73.08,3.71
Oberbayern,Bad Tölz-Wolfratshausen,,,Landkreis,09173,123340,120633,69,58,608,732,198,210,2707,2.24,-11,-15.94,124,20.39,12,6.06,61,-3,-5,5,2,"Reichersbeuern, Wolfratshausen",2,Edeka,20,14,70,3.33
Oberbayern,Dachau,,,Landkreis,09174,146279,134382,54,61,771,715,241,419,11897,8.85,7,12.96,-56,-7.26,178,73.86,62,-1,-2,2,1,,0,Rewe,15,4,26.67,1.36
Oberbayern,Ebersberg,,,Landkreis,09175,134873,123895,54,56,665,763,285,345,10978,8.86,2,3.7,98,14.74,60,21.05,56,0,0,4,2,Gelting,1,Edeka,13,1,7.69,1.08
Oberbayern,Eichstätt,,,Landkreis,09176,127189,123233,64,58,581,589,438,401,3956,3.21,-6,-9.37,8,1.38,-37,-8.45,58,0,0,7,2,"Appertshofen, Lippertshofen",2,Edeka,27,17,62.96,2.7
Oberbayern,Erding,,,Landkreis,09177,131839,123094,58,57,634,689,165,484,8745,7.1,-1,-1.72,55,8.68,319,193.33,57,0,0,3,1,"Langenpreising, Wörth",2,Edeka,24,18,75,4
Oberbayern,Freising,,,Landkreis,09178,170357,160655,69,74,774,801,197,713,9702,6.04,5,7.25,27,3.49,516,261.93,74,0,0,4,1,"Haag an der Amper, Paunzhausen",2,Edeka,20,5,25,1.33
Oberbayern,Fürstenfeldbruck,,,Landkreis,09179,210278,199783,68,70,893,911,635,886,10495,5.25,2,2.94,18,2.02,251,39.53,68,2,3,4,0,Schöngeising,1,Rewe,16,7,43.75,1.78
Oberbayern,Garmisch-Partenkirchen,,,Landkreis,09180,85931,87351,61,53,472,611,170,291,-1420,-1.63,-8,-13.11,139,29.45,121,71.18,57,-4,-7,5,3,Farchant,1,Edeka,18,12,66.67,3
Oberbayern,Landsberg am Lech,Landsberg,,Landkreis,09181,116118,112080,58,57,559,842,145,278,4038,3.6,-1,-1.72,283,50.63,133,91.72,59,-2,-3,9,5,"Hurlach, Windach",2,Edeka,21,14,66.67,3
Oberbayern,Miesbach,,,Landkreis,09182,96773,94970,49,44,596,611,248,350,1803,1.9,-5,-10.2,15,2.52,102,41.13,45,-1,-2,3,0,,0,Edeka,15,9,60,2.5
Oberbayern,Mühldorf am Inn,Mühldorf,,Landkreis,09183,110296,110930,65,62,732,770,219,247,-634,-0.57,-3,-4.62,38,5.19,28,12.79,62,0,0,14,10,"Mettenheim, Mittergars, Oberflossing, Oberornau, Ramsau",5,Edeka,27,18,66.67,3
Oberbayern,München,,,Landkreis,09184,332800,309080,117,131,791,843,760,1,23720,7.67,14,11.97,52,6.57,-759,-99.87,131,0,0,2,0,,0,Kaiser's Tengelmann,26,7,26.92,1.37
Oberbayern,Neuburg-Schrobenhausen,,,Landkreis,09185,93505,91181,45,49,814,747,567,620,2324,2.55,4,8.89,-67,-8.23,53,9.35,52,-3,-6,5,1,,0,Edeka,21,14,66.67,3
